Date,Stock Name,Trend,Tweet
2021-11-02,NFLX,0,49
2021-11-02,TSM,1,49
2021-11-02,KO,0,49
2021-11-02,F,0,49
2021-11-02,COST,1,49
2021-11-02,DIS,0,49
2021-11-02,VZ,0,49
2021-11-02,CRM,1,49
2021-11-02,INTC,1,49
2021-11-02,BA,0,49
2021-11-02,BX,1,49
2021-11-02,NOC,0,49
2021-11-02,PYPL,0,49
2021-11-02,ENPH,0,49
2021-11-02,NIO,1,49
2021-11-02,ZS,1,49
2021-11-02,XPEV,0,49
2021-11-03,TSLA,1,26
2021-11-03,MSFT,1,26
2021-11-03,PG,1,26
2021-11-03,META,1,26
2021-11-03,AMZN,1,26
2021-11-03,GOOG,1,26
2021-11-03,AMD,1,26
2021-11-03,AAPL,1,26
2021-11-03,NFLX,1,26
2021-11-03,TSM,1,26
2021-11-03,KO,1,26
2021-11-03,F,1,26
2021-11-03,COST,1,26
2021-11-03,DIS,1,26
2021-11-03,VZ,1,26
2021-11-03,CRM,0,26
2021-11-03,INTC,1,26
2021-11-03,BA,1,26
2021-11-03,BX,1,26
2021-11-03,NOC,1,26
2021-11-03,PYPL,1,26
2021-11-03,ENPH,1,26
2021-11-03,NIO,0,26
2021-11-03,ZS,0,26
2021-11-03,XPEV,1,26
2021-11-04,TSLA,0,67
2021-11-04,MSFT,1,67
2021-11-04,PG,1,67
2021-11-04,META,1,67
2021-11-04,AMZN,1,67
2021-11-04,GOOG,1,67
2021-11-04,AMD,1,67
2021-11-04,AAPL,0,67
2021-11-04,NFLX,0,67
2021-11-04,TSM,1,67
2021-11-04,KO,1,67
2021-11-04,F,1,67
2021-11-04,COST,1,67
2021-11-04,DIS,1,67
2021-11-04,VZ,0,67
2021-11-04,CRM,1,67
2021-11-04,INTC,1,67
2021-11-04,BA,0,67
2021-11-04,BX,1,67
2021-11-04,NOC,1,67
2021-11-04,PYPL,0,67
2021-11-04,ENPH,1,67
2021-11-04,NIO,1,67
2021-11-04,ZS,1,67
2021-11-04,XPEV,0,67
2021-11-05,TSLA,0,53
2021-11-05,MSFT,0,53
2021-11-05,PG,1,53
2021-11-05,META,1,53
2021-11-05,AMZN,1,53
2021-11-05,GOOG,0,53
2021-11-05,AMD,0,53
2021-11-05,AAPL,0,53
2021-11-05,NFLX,0,53
2021-11-05,TSM,0,53
2021-11-05,KO,0,53
2021-11-05,F,0,53
2021-11-05,COST,0,53
2021-11-05,DIS,1,53
